No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
1,Crystallure Cleansing Foam,Wardah,Kulit Normal,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
2,Crystallure Cleansing Foam,Wardah,Kulit Kering,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
3,Crystallure Cleansing Foam,Wardah,Kulit Berminyak,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,NO,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
4,Crystallure Cleansing Foam,Wardah,Kulit Berjerawat,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,NO,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
5,Crystallure Cleansing Foam,Wardah,Kulit Sensitif,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
6,Crystallure Cleansing Foam,Wardah,Kulit Kombinasi,"Penuaan dini, Garis halus, Kusam","Gold-Peptide Crystals, Amino Ectoin",1,1,1,0,1,0,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Crystallure Moisture Rich Cleansing Foam.png
7,Acnederm Pure Foaming Cleanser,Wardah,Kulit Berminyak,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
8,Acnederm Pure Foaming Cleanser,Wardah,Kulit Kering,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
9,Acnederm Pure Foaming Cleanser,Wardah,Kulit Kombinasi,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
10,Acnederm Pure Foaming Cleanser,Wardah,Kulit Normal,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
11,Acnederm Pure Foaming Cleanser,Wardah,Kulit Sensitif,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
12,Acnederm Pure Foaming Cleanser,Wardah,Kulit Berjerawat,"Jerawat aktif, Minyak berlebih, Pori-pori tersumbat, Kusam","Salicylic Acid, Allantoin",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Facial Wash\Wardah Acnederm Pure Foaming Cleanser.png
13,Hydra Rose Gel to Foam Cleanser,Wardah,Kulit Normal,"Dehidrasi, Sensitif, Iritasi ringan","72H Hydration Active, Rose Oil",1,0,1,1,1,0,1,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Hydra Rose Gel to Foam Cleanser.png
