No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
1,Plump & Firm Gel Moisturizer,Wardah,Kulit Normal,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
2,Plump & Firm Gel Moisturizer,Wardah,Kulit Kering,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
3,Plump & Firm Gel Moisturizer,Wardah,Kulit Sensitif,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
4,Plump & Firm Gel Moisturizer,Wardah,Kulit Berminyak,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
5,Plump & Firm Gel Moisturizer,Wardah,Kulit Kombinasi,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
6,Plump & Firm Gel Moisturizer,Wardah,Kulit Berjerawat,"Kulit kendur, Garis Halus, Elastisitas menurun, Tekstur kulit kasar","Biotech Recombinant Collagen, Argireline™ Peptide",1,0,0,1,1,0,0,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Plump & Firm Gel Moisturizer.png
7,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Normal,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
8,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Kering,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
9,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Berminyak,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
10,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Kombinasi,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
11,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Sensitif,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
12,14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Wardah,Kulit Berjerawat,"Kulit dehidrasi, Skin barrier rusak","14X Hyaluron, Pentavitin",1,0,1,0,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer.png
