No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
1,Radiant Resurfacing Serum,Wardah,Kulit Normal,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
2,Radiant Resurfacing Serum,Wardah,Kulit Kering,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
3,Radiant Resurfacing Serum,Wardah,Kulit Kombinasi,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
4,Radiant Resurfacing Serum,Wardah,Kulit Berminyak,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
5,Radiant Resurfacing Serum,Wardah,Kulit Berjerawat,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
6,Radiant Resurfacing Serum,Wardah,Kulit Sensitif,"Tekstur kasar, Kusam, Tanda penuaan, Minyak berlebih dan pori-pori tersumbat","Liposome Retinal, Cysteamine, Matrixyl™3000, Madecassoside",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Radiant Resurfacing Serum.png
7,Bright & Barrier Repair Serum,Wardah,Kulit Normal,"Hiperpigmentasi, Bekas jerawat, Kusam","Symradiance399, 10% Niacinamide, Bisabolol, Sodium Hyaluronate",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Bright & Barrier Repair Serum.png
8,Bright & Barrier Repair Serum,Wardah,Kulit Kering,"Hiperpigmentasi, Bekas jerawat, Kusam","Symradiance399, 10% Niacinamide, Bisabolol, Sodium Hyaluronate",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Bright & Barrier Repair Serum.png
9,Bright & Barrier Repair Serum,Wardah,Kulit Kombinasi,"Hiperpigmentasi, Bekas jerawat, Kusam","Symradiance399, 10% Niacinamide, Bisabolol, Sodium Hyaluronate",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Bright & Barrier Repair Serum.png
10,Bright & Barrier Repair Serum,Wardah,Kulit Berminyak,"Hiperpigmentasi, Bekas jerawat, Kusam","Symradiance399, 10% Niacinamide, Bisabolol, Sodium Hyaluronate",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Bright & Barrier Repair Serum.png
