No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
1,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Normal,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
2,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Kering,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
3,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Sensitif,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
4,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Berminyak,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
5,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Kombinasi,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
6,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Berjerawat,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
7,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Normal,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
8,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Kering,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
9,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Sensitif,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
10,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Berminyak,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
11,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Kombinasi,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
12,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Berjerawat,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
13,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Normal,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
14,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Kering,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
15,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Sensitif,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
16,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Berminyak,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
17,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Kombinasi,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
18,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Berjerawat,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
19,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Normal,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
20,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Kering,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
21,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Sensitif,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
