No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
1,Hydra Rose Petal Infused Toner,Wardah,Kulit Normal,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
2,Hydra Rose Petal Infused Toner,Wardah,Kulit Kering,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
3,Hydra Rose Petal Infused Toner,Wardah,Kulit Sensitif,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
4,Hydra Rose Petal Infused Toner,Wardah,Kulit Kombinasi,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
5,Hydra Rose Petal Infused Toner,Wardah,Kulit Berminyak,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
6,Hydra Rose Petal Infused Toner,Wardah,Kulit Berjerawat,"Dehidrasi, Kulit kering, Kemerahan, Iritasi ringan","72H Hydration Active, Pure Rose Water, Real Rose Petal",1,1,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Wardah Hydra Rose Petal Infused Toner.png
7,Acnederm Pore Refining Toner,Wardah,Kulit Berjerawat,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
8,Acnederm Pore Refining Toner,Wardah,Kulit Berminyak,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
9,Acnederm Pore Refining Toner,Wardah,Kulit Kombinasi,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
10,Acnederm Pore Refining Toner,Wardah,Kulit Normal,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
11,Acnederm Pore Refining Toner,Wardah,Kulit Kering,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
12,Acnederm Pore Refining Toner,Wardah,Kulit Sensitif,"Jerawat aktif, Pori-pori besar, Minyak berlebih","BHA (Salicylic Acid), Witch Hazel, Mineral Powder",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Wardah Acnederm Pore Refining Toner.png
13,Lightening Face Toner,Wardah,Kulit Normal,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Skin Lightening System, Licorice, Seaweed, Vitamin B3",1,0,1,1,0,1,0,0,0,NO,C:\project\static\Images\Toner\Wardah Lightening Face Toner.png
